,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
139,140,139,화이트 호스 =강화길 소설 /White horse ,지은이: 강화길,문학동네,2020,9788954672221,03810,,813.7,문학 > 한국문학 > 소설,96,https://image.aladin.co.kr/product/24191/87/cover/8954672221_1.jpg,https://data4library.kr/bookV?seq=5678489
140,141,139,나도 아직 나를 모른다 :뇌과학과 임상심리학이 부서진 마음에게 전하는 말 ,허지원 지음,홍익출판사,2018,9788970656588,03180,,186.3,철학 > 심리학 > 임상심리학,96,https://image.aladin.co.kr/product/17169/85/cover/8970656588_1.jpg,https://data4library.kr/bookV?seq=5229236
141,142,139,주식투자 무작정 따라하기 =Stock market investing ,윤재수 지음,길벗,2020,9791165210144,13320,,327.856,사회과학 > 경제학 > 금융,96,https://image.aladin.co.kr/product/22271/60/cover/k982636921_1.jpg,https://data4library.kr/bookV?seq=5569459
142,143,143,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,2000,9788937460449,04850,44,853,문학 > 독일문학 > 소설,95,https://bookthumb-phinf.pstatic.net/cover/000/051/00005186.jpg?type=m1&udate=20160509,https://data4library.kr/bookV?seq=2374415
143,144,143,어떻게 살 것인가 ,지은이: 유시민,아름다운사람들,2013,9788965132288,03810,,340.4,사회과학 > 정치학 > 정치학,95,https://bookthumb-phinf.pstatic.net/cover/071/503/07150363.jpg?type=m1&udate=20151014,https://data4library.kr/bookV?seq=1913291
144,145,143,"진이, 지니 :정유정 장편소설 ",지은이: 정유정,은행나무,2019,9791189982140,03810,,813.7,문학 > 한국문학 > 소설,95,https://image.aladin.co.kr/product/19237/50/cover/k712635104_1.jpg,https://data4library.kr/bookV?seq=5411693
145,146,146,곰탕 :김영탁 장편소설 ,지은이: 김영탁,Arte(아르테),2018,9788950973759,04810,1,813.7,문학 > 한국문학 > 소설,94,https://bookthumb-phinf.pstatic.net/cover/134/460/13446026.jpg?type=m1&udate=20180322,https://data4library.kr/bookV?seq=3725494
146,147,146,숨 :테드 창 소설 ,지은이: 테드 창 ;옮긴이: 김상훈,북하우스 퍼블리셔스,2019,9791164050277,03840,,843.6,문학 > 영미문학 > 소설,94,https://image.aladin.co.kr/product/19102/59/cover/k492635392_1.jpg,https://data4library.kr/bookV?seq=5404490
147,148,146,홀로서기 심리학 :이제는 흔들리지 않고 삶의 중심을 잡고 싶다면 ,지은이: 라라 E. 필딩 ;일러스트: 최연주,메이븐,2020,9791190538206,03180,,183.7,철학 > 심리학 > 발달심리학,94,https://image.aladin.co.kr/product/25478/64/cover/k332633923_1.jpg,https://data4library.kr/bookV?seq=5796351
148,149,149,이기적 유전자 :진화론의 새로운 패러다임 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2010,9788932471631,03470,,491.51,자연과학 > 동물학 > 일반 동물학,93,http://image.aladin.co.kr/product/751/8/cover/8932471630_1.jpg,https://data4library.kr/bookV?seq=1089663
149,150,149,레몬 :권여선 장편소설 ,지은이: 권여선,창비,2019,9788936434366,03810,,813.7,문학 > 한국문학 > 소설,93,https://image.aladin.co.kr/product/18910/79/cover/8936434365_1.jpg,https://data4library.kr/bookV?seq=5393638
150,151,149,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,,9788954608640,04830,1,833.6,문학 > 일본문학 > 소설,93,https://bookthumb-phinf.pstatic.net/cover/060/537/06053729.jpg?type=m1&udate=20130406,https://data4library.kr/bookV?seq=2370295
151,152,152,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,마크 맨슨 지음 ;한재호 옮김,웅진씽크빅,2017,9788901219943,03190,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",92,https://image.aladin.co.kr/product/12005/79/cover/8901219948_1.jpg,https://data4library.kr/bookV?seq=3649711
